 lga_code, lga_name,year, homeless_f_0_9, at_risk_f_0_9, homeless_m_0_9, at_risk_m_0_9, homeless_f_10_19, at_risk_f_10_19, homeless_m_10_19, at_risk_m_10_19, homeless_f_20_29, at_risk_f_20_29, homeless_m_20_29, at_risk_m_20_29, homeless_f_30_39, at_risk_f_30_39, homeless_m_30_39, at_risk_m_30_39, homeless_f_40_49, at_risk_f_40_49, homeless_m_40_49, at_risk_m_40_49, homeless_f_50_59, at_risk_f_50_59, homeless_m_50_59, at_risk_m_50_59, homeless_f_60_plus, at_risk_f_60_plus, homeless_m_60_plus, at_risk_m_60_plus,unknown_f,unknown_m
10050,Albury,2018,16,11,15,15,52,19,32,23,40,43,45,17,25,48,44,18,24,32,39,23,8,14,24,13,0,14,0,6,5,8
10130,Armidale Regional,2018,17,27,21,25,33,46,27,40,48,40,19,15,20,42,13,23,16,26,16,18,8,5,5,11,0,3,0,6,2,2
10250,Ballina,2018,36,51,23,64,27,52,31,36,48,55,19,11,21,46,22,15,23,39,27,21,15,26,19,15,4,9,7,6,7,4
10300,Balranald,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3
10470,Bathurst Regional,2018,57,58,44,71,67,60,49,47,60,50,47,26,31,33,46,25,26,33,34,18,11,9,25,12,8,6,6,14,1,3
10500,Bayside,2018,15,29,27,40,16,47,15,42,21,37,14,15,25,55,4,15,22,60,6,15,10,23,9,14,5,13,4,7,4,2
10550,Bega Valley,2018,18,6,19,12,23,24,16,17,23,16,21,10,21,20,15,5,7,8,15,3,11,0,7,0,3,6,0,10,5,5
10600,Bellingen,2018,0,0,0,0,0,5,0,4,4,9,3,3,0,5,0,3,4,5,0,0,0,0,0,0,0,0,0,0,13,11
10650,Berrigan,2018,3,0,0,0,0,0,0,3,3,6,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,10
10750,Blacktown,2018,102,116,125,139,171,172,111,172,169,198,83,76,97,187,42,32,54,133,34,45,16,48,20,24,9,22,6,18,2,1
10800,Bland,2018,0,4,0,7,3,3,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
10850,Blayney,2018,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10
10900,Blue Mountains,2018,10,17,9,13,29,57,19,38,20,38,9,21,16,43,4,5,13,49,17,9,11,23,5,7,3,14,0,8,0,3
10950,Bogan,2018,4,4,7,5,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,13
11150,Bourke,2018,14,18,9,27,11,18,6,14,11,21,6,9,8,9,5,5,14,11,4,0,0,8,4,5,0,6,0,4,3,4
11200,Brewarrina,2018,7,17,7,16,9,11,0,7,12,9,0,0,10,8,8,0,4,7,4,3,0,0,0,4,0,0,0,4,4,8
11250,Broken Hill,2018,17,8,18,19,41,10,26,16,26,20,31,7,24,19,12,7,9,11,14,16,6,7,9,4,0,3,5,4,4,1
11300,Burwood,2018,6,5,12,10,11,3,9,12,11,5,5,3,6,8,10,0,5,4,8,4,5,4,7,0,0,0,0,0,5,6
11350,Byron,2018,0,7,6,8,5,13,18,13,6,13,10,4,6,14,10,5,13,16,19,5,14,7,12,5,5,10,9,4,7,4
11400,Cabonne,2018,4,4,0,0,4,0,0,6,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,12
11450,Camden,2018,11,27,18,27,10,22,12,22,15,14,6,4,11,15,4,3,4,11,3,4,0,3,3,0,0,0,0,0,4,5
11500,Campbelltown,2018,109,197,118,174,108,205,91,156,131,156,68,51,71,144,56,38,45,100,36,28,13,40,24,14,9,25,13,8,0,4
11520,Canada Bay,2018,5,8,6,6,10,19,10,16,5,9,13,11,5,15,6,3,10,16,3,0,3,8,0,4,0,7,0,5,4,6
11570,Canterbury-Bankstown,2018,74,152,93,171,84,172,56,113,86,115,29,47,60,167,34,30,57,91,29,40,11,33,26,38,4,20,8,49,2,3
11600,Carrathool,2018,0,5,0,0,0,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
11650,Central Coast,2018,108,165,135,150,150,207,109,153,163,143,73,44,120,172,74,34,66,142,86,74,41,86,34,63,7,60,24,35,3,8
11700,Central Darling,2018,0,4,3,8,3,12,3,0,0,7,0,3,4,6,0,0,0,8,0,0,0,7,0,0,0,0,0,0,7,3
11720,Cessnock,2018,4,17,0,15,29,34,15,31,42,55,10,10,28,33,12,10,12,23,21,11,8,9,4,0,0,0,0,0,6,7
11730,Clarence Valley,2018,54,56,58,77,69,48,36,43,52,61,30,13,36,65,28,20,30,49,27,11,14,27,15,15,9,17,8,4,1,3
11750,Cobar,2018,5,8,5,8,9,0,6,7,4,13,3,5,3,4,4,0,0,6,0,0,4,3,0,0,0,0,0,3,6,8
11800,Coffs Harbour,2018,45,66,50,45,75,74,71,61,69,103,50,45,45,107,39,36,30,84,35,24,13,38,24,16,9,20,8,6,0,2
12000,Coolamon,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7
12150,Coonamble,2018,9,9,22,11,10,9,8,5,9,7,7,4,10,6,4,0,0,4,0,4,0,6,0,0,0,0,0,0,7,5
12160,Cootamundra-Gundagai Regional,2018,0,0,0,0,5,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,13
12350,Cowra,2018,9,7,5,10,6,4,4,4,7,10,3,0,4,6,0,3,0,0,3,0,3,0,0,0,0,0,0,0,7,4
12380,Cumberland,2018,48,43,44,68,58,55,39,44,56,55,30,22,53,74,18,26,29,40,18,30,10,31,13,19,9,15,6,18,1,0
12390,Dubbo Regional,2018,71,99,75,102,66,96,43,81,83,86,50,34,37,63,38,34,23,43,29,28,7,17,8,9,5,8,5,5,3,3
12700,Dungog,2018,0,3,4,0,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,9
12730,Edward River,2018,0,0,0,0,3,4,3,8,5,15,0,6,5,7,9,5,5,8,6,4,3,7,0,0,0,3,0,0,3,8
12750,Eurobodalla,2018,13,19,22,25,38,37,23,32,40,37,26,16,33,56,19,11,19,40,28,19,17,16,17,16,0,11,6,18,5,1
12850,Fairfield,2018,41,102,46,69,55,90,37,94,42,51,17,20,38,77,13,14,23,41,14,16,6,15,8,21,4,10,6,4,2,2
12870,Federation,2018,0,8,4,3,6,0,3,0,0,6,0,0,3,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,7,12
12900,Forbes,2018,4,7,0,7,8,6,10,9,4,5,5,0,5,10,6,4,4,3,5,0,0,0,4,3,0,5,0,0,2,9
